(-175.0, 45.0, 0.0) (0, 17) Down 0
(-75.0, 65.0, 0.0) (10, 19) Down 0
(-95.0, 65.0, 0.0) (8, 19) Down 0
(-105.0, 65.0, 0.0) (7, 19) Down 0
(-115.0, 65.0, 0.0) (6, 19) Down 0
(-125.0, 65.0, 0.0) (5, 19) Down 0
(-135.0, 65.0, 0.0) (4, 19) Down 0
(-155.0, 65.0, 0.0) (2, 19) Down 0
(-145.0, 65.0, 0.0) (3, 19) Down 0
(-165.0, 65.0, 0.0) (1, 19) Down 0
(-155.0, 45.0, 0.0) (2, 17) Down 0
(-155.0, 35.0, 0.0) (2, 16) Down 0
(-155.0, 25.0, 0.0) (2, 15) Down 0
(-155.0, 15.0, 0.0) (2, 14) Down 0
(-155.0, 5.0, 0.0) (2, 13) Down 0
(-145.0, 5.0, 0.0) (3, 13) Down 0
(-135.0, 5.0, 0.0) (4, 13) Down 0
(-125.0, 5.0, 0.0) (5, 13) Down 0
(-115.0, 5.0, 0.0) (6, 13) Down 0
(-5.0, 45.0, 0.0) (17, 17) Down 0
(-5.0, 35.0, 0.0) (17, 16) Down 0
(-5.0, 25.0, 0.0) (17, 15) Down 0
(-5.0, 15.0, 0.0) (17, 14) Down 0
(-5.0, 5.0, 0.0) (17, 13) Down 0
(-15.0, 5.0, 0.0) (16, 13) Down 0
(-25.0, 5.0, 0.0) (15, 13) Down 0
(-35.0, 5.0, 0.0) (14, 13) Down 0
(-45.0, 5.0, 0.0) (13, 13) Down 0
(-155.0, -15.0, 0.0) (2, 11) Down 0
(-135.0, -15.0, 0.0) (4, 11) Down 0
(-125.0, -15.0, 0.0) (5, 11) Down 0
(-115.0, -15.0, 0.0) (6, 11) Down 0
(-155.0, -25.0, 0.0) (2, 10) Down 0
(-155.0, -35.0, 0.0) (2, 9) Down 0
(-155.0, -45.0, 0.0) (2, 8) Down 0
(-135.0, -25.0, 0.0) (4, 10) Down 0
(-135.0, -35.0, 0.0) (4, 9) Down 0
(-135.0, -45.0, 0.0) (4, 8) Down 0
(-135.0, -65.0, 0.0) (4, 6) Down 0
(-145.0, -65.0, 0.0) (3, 6) Down 0
(-155.0, -65.0, 0.0) (2, 6) Down 0
(-165.0, -65.0, 0.0) (1, 6) Down 0
(-135.0, -75.0, 0.0) (4, 5) Down 0
(-135.0, -85.0, 0.0) (4, 4) Down 0
(-165.0, -85.0, 0.0) (1, 4) Down 0
(-165.0, -95.0, 0.0) (1, 3) Down 0
(-155.0, -95.0, 0.0) (2, 3) Down 0
(-155.0, -105.0, 0.0) (2, 2) Down 0
(-135.0, -105.0, 0.0) (4, 2) Down 0
(-145.0, -105.0, 0.0) (3, 2) Down 0
(-145.0, -75.0, 0.0) (3, 5) Down 0
(-135.0, 55.0, 0.0) (4, 18) Down 0
(-145.0, 45.0, 0.0) (3, 17) Down 0
(-135.0, 35.0, 0.0) (4, 16) Down 0
(-135.0, 25.0, 0.0) (4, 15) Down 0
(-125.0, 35.0, 0.0) (5, 16) Down 0
(-115.0, 35.0, 0.0) (6, 16) Down 0
(-105.0, 35.0, 0.0) (7, 16) Down 0
(-115.0, 45.0, 0.0) (6, 17) Down 0
(-95.0, 55.0, 0.0) (8, 18) Down 0
(-105.0, 5.0, 0.0) (7, 13) Down 0
(-55.0, 5.0, 0.0) (12, 13) Down 0
(-25.0, 55.0, 0.0) (15, 18) Down 0
(-55.0, 55.0, 0.0) (12, 18) Down 0
(-35.0, 45.0, 0.0) (14, 17) Down 0
(-55.0, 35.0, 0.0) (12, 16) Down 0
(-35.0, 35.0, 0.0) (14, 16) Down 0
(-45.0, 35.0, 0.0) (13, 16) Down 0
(-25.0, 35.0, 0.0) (15, 16) Down 0
(-25.0, 25.0, 0.0) (15, 15) Down 0
(-65.0, 35.0, 0.0) (11, 16) Down 0
(-75.0, 35.0, 0.0) (10, 16) Down 0
(-75.0, 25.0, 0.0) (10, 15) Down 0
(-75.0, 5.0, 0.0) (10, 13) Down 0
(-75.0, 15.0, 0.0) (10, 14) Down 0
(-75.0, -5.0, 0.0) (10, 12) Down 0
(-75.0, -15.0, 0.0) (10, 11) Down 0
(-85.0, -15.0, 0.0) (9, 11) Down 0
(-95.0, -15.0, 0.0) (8, 11) Down 0
(-105.0, -15.0, 0.0) (7, 11) Down 0
(-125.0, -35.0, 0.0) (5, 9) Down 0
(-115.0, -35.0, 0.0) (6, 9) Down 0
(-115.0, -45.0, 0.0) (6, 8) Down 0
(-115.0, -65.0, 0.0) (6, 6) Down 0
(-95.0, -55.0, 0.0) (8, 7) Down 0
(-95.0, -35.0, 0.0) (8, 9) Down 0
(-85.0, -35.0, 0.0) (9, 9) Down 0
(-75.0, -35.0, 0.0) (10, 9) Down 0
(-65.0, -35.0, 0.0) (11, 9) Down 0
(-55.0, -35.0, 0.0) (12, 9) Down 0
(-55.0, -15.0, 0.0) (12, 11) Down 0
(-45.0, -15.0, 0.0) (13, 11) Down 0
(-35.0, -15.0, 0.0) (14, 11) Down 0
(-25.0, -15.0, 0.0) (15, 11) Down 0
(-15.0, -15.0, 0.0) (16, 11) Down 0
(-5.0, -25.0, 0.0) (17, 10) Down 0
(-5.0, -5.0, 0.0) (17, 12) Down 0
(-5.0, -35.0, 0.0) (17, 9) Down 0
(-5.0, -45.0, 0.0) (17, 8) Down 0
(-5.0, -55.0, 0.0) (17, 7) Down 0
(-5.0, -65.0, 0.0) (17, 6) Down 0
(-55.0, -55.0, 0.0) (12, 7) Down 0
(-45.0, -55.0, 0.0) (13, 7) Down 0
(-35.0, -55.0, 0.0) (14, 7) Down 0
(-25.0, -55.0, 0.0) (15, 7) Down 0
(-15.0, -55.0, 0.0) (16, 7) Down 0
(-25.0, -25.0, 0.0) (15, 10) Down 0
(-35.0, -45.0, 0.0) (14, 8) Down 0
(-95.0, -65.0, 0.0) (8, 6) Down 0
(-95.0, -75.0, 0.0) (8, 5) Down 0
(-105.0, -85.0, 0.0) (7, 4) Down 0
(-85.0, -75.0, 0.0) (9, 5) Down 0
(-75.0, -75.0, 0.0) (10, 5) Down 0
(-65.0, -75.0, 0.0) (11, 5) Down 0
(-55.0, -75.0, 0.0) (12, 5) Down 0
(-45.0, -75.0, 0.0) (13, 5) Down 0
(-35.0, -75.0, 0.0) (14, 5) Down 0
(-35.0, -85.0, 0.0) (14, 4) Down 0
(-65.0, -85.0, 0.0) (11, 4) Down 0
(-65.0, -95.0, 0.0) (11, 3) Down 0
(-45.0, -95.0, 0.0) (13, 3) Down 0
(-45.0, -105.0, 0.0) (13, 2) Down 0
(-35.0, -105.0, 0.0) (14, 2) Down 0
(-25.0, -105.0, 0.0) (15, 2) Down 0
(-15.0, -105.0, 0.0) (16, 2) Down 0
(-15.0, -85.0, 0.0) (16, 4) Down 0
(-115.0, -75.0, 0.0) (6, 5) Down 0
(-115.0, -85.0, 0.0) (6, 4) Down 0
(-115.0, -95.0, 0.0) (6, 3) Down 0
(-115.0, -105.0, 0.0) (6, 2) Down 0
(-105.0, -105.0, 0.0) (7, 2) Down 0
(-95.0, -105.0, 0.0) (8, 2) Down 0
(-85.0, -85.0, 0.0) (9, 4) Down 0
(-75.0, -115.0, 0.0) (10, 1) Down 0
(-155.0, -5.0, 0.0) (2, 12) Down 2
(-35.0, -65.0, 0.0) (14, 6) Down 3
(-55.0, -65.0, 0.0) (12, 6) Down 4
(-135.0, -5.0, 0.0) (4, 12) Down 5
(-165.0, 45.0, 0.0) (1, 17) Down 1
(-165.0, 55.0, 0.0) (1, 18) Down 1
(-155.0, 55.0, 0.0) (2, 18) Down 1
(-145.0, 55.0, 0.0) (3, 18) Down 1
(-165.0, 25.0, 0.0) (1, 15) Down 1
(-165.0, 35.0, 0.0) (1, 16) Down 1
(-165.0, 15.0, 0.0) (1, 14) Down 1
(-165.0, 5.0, 0.0) (1, 13) Down 1
(-165.0, -5.0, 0.0) (1, 12) Down 1
(-165.0, -15.0, 0.0) (1, 11) Down 1
(-165.0, -25.0, 0.0) (1, 10) Down 1
(-165.0, -35.0, 0.0) (1, 9) Down 1
(-165.0, -45.0, 0.0) (1, 8) Down 1
(-165.0, -55.0, 0.0) (1, 7) Down 1
(-155.0, -55.0, 0.0) (2, 7) Down 1
(-135.0, -55.0, 0.0) (4, 7) Down 1
(-125.0, -55.0, 0.0) (5, 7) Down 1
(-115.0, -55.0, 0.0) (6, 7) Down 1
(-105.0, -55.0, 0.0) (7, 7) Down 1
(-105.0, -65.0, 0.0) (7, 6) Down 1
(-105.0, -75.0, 0.0) (7, 5) Down 1
(-145.0, -35.0, 0.0) (3, 9) Down 1
(-145.0, -25.0, 0.0) (3, 10) Down 1
(-145.0, -15.0, 0.0) (3, 11) Down 1
(-145.0, -5.0, 0.0) (3, 12) Down 1
(-145.0, -45.0, 0.0) (3, 8) Down 1
(-145.0, -55.0, 0.0) (3, 7) Down 1
(-125.0, -65.0, 0.0) (5, 6) Down 1
(-125.0, -75.0, 0.0) (5, 5) Down 1
(-125.0, -85.0, 0.0) (5, 4) Down 1
(-125.0, -95.0, 0.0) (5, 3) Down 1
(-135.0, -95.0, 0.0) (4, 3) Down 1
(-145.0, -95.0, 0.0) (3, 3) Down 1
(-145.0, -85.0, 0.0) (3, 4) Down 1
(-155.0, -85.0, 0.0) (2, 4) Down 1
(-155.0, -75.0, 0.0) (2, 5) Down 1
(-165.0, -75.0, 0.0) (1, 5) Down 1
(-165.0, -105.0, 0.0) (1, 2) Down 1
(-165.0, -115.0, 0.0) (1, 1) Down 1
(-155.0, -115.0, 0.0) (2, 1) Down 1
(-135.0, -115.0, 0.0) (4, 1) Down 1
(-125.0, -115.0, 0.0) (5, 1) Down 1
(-145.0, -115.0, 0.0) (3, 1) Down 1
(-125.0, -105.0, 0.0) (5, 2) Down 1
(-105.0, -115.0, 0.0) (7, 1) Down 1
(-95.0, -115.0, 0.0) (8, 1) Down 1
(-85.0, -115.0, 0.0) (9, 1) Down 1
(-115.0, -115.0, 0.0) (6, 1) Down 1
(-105.0, -95.0, 0.0) (7, 3) Down 1
(-95.0, -95.0, 0.0) (8, 3) Down 1
(-95.0, -85.0, 0.0) (8, 4) Down 1
(-85.0, -95.0, 0.0) (9, 3) Down 1
(-75.0, -85.0, 0.0) (10, 4) Down 1
(-75.0, -95.0, 0.0) (10, 3) Down 1
(-85.0, -105.0, 0.0) (9, 2) Down 1
(-75.0, -105.0, 0.0) (10, 2) Down 1
(-65.0, -105.0, 0.0) (11, 2) Down 1
(-65.0, -115.0, 0.0) (11, 1) Down 1
(-55.0, -115.0, 0.0) (12, 1) Down 1
(-55.0, -105.0, 0.0) (12, 2) Down 1
(-55.0, -85.0, 0.0) (12, 4) Down 1
(-45.0, -85.0, 0.0) (13, 4) Down 1
(-45.0, -115.0, 0.0) (13, 1) Down 1
(-35.0, -115.0, 0.0) (14, 1) Down 1
(-15.0, -115.0, 0.0) (16, 1) Down 1
(-5.0, -115.0, 0.0) (17, 1) Down 1
(5.0, -115.0, 0.0) (18, 1) Down 1
(5.0, -105.0, 0.0) (18, 2) Down 1
(-5.0, -105.0, 0.0) (17, 2) Down 1
(-5.0, -95.0, 0.0) (17, 3) Down 1
(-5.0, -85.0, 0.0) (17, 4) Down 1
(5.0, -85.0, 0.0) (18, 4) Down 1
(-5.0, -75.0, 0.0) (17, 5) Down 1
(-15.0, -75.0, 0.0) (16, 5) Down 1
(-25.0, -65.0, 0.0) (15, 6) Down 1
(-15.0, -65.0, 0.0) (16, 6) Down 1
(-25.0, -75.0, 0.0) (15, 5) Down 1
(-25.0, -85.0, 0.0) (15, 4) Down 1
(-25.0, -95.0, 0.0) (15, 3) Down 1
(-35.0, -95.0, 0.0) (14, 3) Down 1
(-15.0, -95.0, 0.0) (16, 3) Down 1
(5.0, -95.0, 0.0) (18, 3) Down 1
(5.0, -75.0, 0.0) (18, 5) Down 1
(5.0, -65.0, 0.0) (18, 6) Down 1
(5.0, -55.0, 0.0) (18, 7) Down 1
(5.0, -45.0, 0.0) (18, 8) Down 1
(5.0, -35.0, 0.0) (18, 9) Down 1
(5.0, -25.0, 0.0) (18, 10) Down 1
(-5.0, -15.0, 0.0) (17, 11) Down 1
(5.0, -15.0, 0.0) (18, 11) Down 1
(5.0, -5.0, 0.0) (18, 12) Down 1
(5.0, 15.0, 0.0) (18, 14) Down 1
(5.0, 5.0, 0.0) (18, 13) Down 1
(5.0, 35.0, 0.0) (18, 16) Down 1
(5.0, 25.0, 0.0) (18, 15) Down 1
(5.0, 45.0, 0.0) (18, 17) Down 1
(5.0, 55.0, 0.0) (18, 18) Down 1
(-5.0, 55.0, 0.0) (17, 18) Down 1
(-15.0, 55.0, 0.0) (16, 18) Down 1
(-15.0, 45.0, 0.0) (16, 17) Down 1
(-25.0, 45.0, 0.0) (15, 17) Down 1
(-15.0, 35.0, 0.0) (16, 16) Down 1
(-15.0, 25.0, 0.0) (16, 15) Down 1
(-15.0, 15.0, 0.0) (16, 14) Down 1
(-25.0, 15.0, 0.0) (15, 14) Down 1
(-35.0, 15.0, 0.0) (14, 14) Down 1
(-45.0, 15.0, 0.0) (13, 14) Down 1
(-45.0, 25.0, 0.0) (13, 15) Down 1
(-55.0, 25.0, 0.0) (12, 15) Down 1
(-65.0, 15.0, 0.0) (11, 14) Down 1
(-55.0, 15.0, 0.0) (12, 14) Down 1
(-65.0, 25.0, 0.0) (11, 15) Down 1
(-65.0, 5.0, 0.0) (11, 13) Down 1
(-65.0, -5.0, 0.0) (11, 12) Down 1
(-55.0, -5.0, 0.0) (12, 12) Down 1
(-35.0, -5.0, 0.0) (14, 12) Down 1
(-25.0, -5.0, 0.0) (15, 12) Down 1
(-15.0, -5.0, 0.0) (16, 12) Down 1
(-45.0, -5.0, 0.0) (13, 12) Down 1
(-65.0, -15.0, 0.0) (11, 11) Down 1
(-65.0, -25.0, 0.0) (11, 10) Down 1
(-85.0, -25.0, 0.0) (9, 10) Down 1
(-115.0, -25.0, 0.0) (6, 10) Down 1
(-105.0, -25.0, 0.0) (7, 10) Down 1
(-125.0, -25.0, 0.0) (5, 10) Down 1
(-95.0, -25.0, 0.0) (8, 10) Down 1
(-75.0, -25.0, 0.0) (10, 10) Down 1
(-105.0, -35.0, 0.0) (7, 9) Down 1
(-105.0, -45.0, 0.0) (7, 8) Down 1
(-85.0, -45.0, 0.0) (9, 8) Down 1
(-85.0, -55.0, 0.0) (9, 7) Down 1
(-85.0, -65.0, 0.0) (9, 6) Down 1
(-75.0, -65.0, 0.0) (10, 6) Down 1
(-75.0, -55.0, 0.0) (10, 7) Down 1
(-75.0, -45.0, 0.0) (10, 8) Down 1
(-65.0, -45.0, 0.0) (11, 8) Down 1
(-55.0, -45.0, 0.0) (12, 8) Down 1
(-45.0, -45.0, 0.0) (13, 8) Down 1
(-45.0, -35.0, 0.0) (13, 9) Down 1
(-45.0, -25.0, 0.0) (13, 10) Down 1
(-55.0, -25.0, 0.0) (12, 10) Down 1
(-35.0, -25.0, 0.0) (14, 10) Down 1
(-35.0, -35.0, 0.0) (14, 9) Down 1
(-25.0, -35.0, 0.0) (15, 9) Down 1
(-15.0, -45.0, 0.0) (16, 8) Down 1
(-25.0, -45.0, 0.0) (15, 8) Down 1
(-15.0, -35.0, 0.0) (16, 9) Down 1
(-15.0, -25.0, 0.0) (16, 10) Down 1
(-65.0, -55.0, 0.0) (11, 7) Down 1
(-65.0, -65.0, 0.0) (11, 6) Down 1
(-55.0, -95.0, 0.0) (12, 3) Down 1
(-95.0, -5.0, 0.0) (8, 12) Down 1
(-115.0, -5.0, 0.0) (6, 12) Down 1
(-125.0, -5.0, 0.0) (5, 12) Down 1
(-105.0, -5.0, 0.0) (7, 12) Down 1
(-85.0, -5.0, 0.0) (9, 12) Down 1
(-85.0, 5.0, 0.0) (9, 13) Down 1
(-95.0, 5.0, 0.0) (8, 13) Down 1
(-95.0, 15.0, 0.0) (8, 14) Down 1
(-85.0, 15.0, 0.0) (9, 14) Down 1
(-85.0, 25.0, 0.0) (9, 15) Down 1
(-95.0, 25.0, 0.0) (8, 15) Down 1
(-105.0, 25.0, 0.0) (7, 15) Down 1
(-115.0, 25.0, 0.0) (6, 15) Down 1
(-125.0, 25.0, 0.0) (5, 15) Down 1
(-135.0, 15.0, 0.0) (4, 14) Down 1
(-145.0, 25.0, 0.0) (3, 15) Down 1
(-145.0, 35.0, 0.0) (3, 16) Down 1
(-145.0, 15.0, 0.0) (3, 14) Down 1
(-125.0, 15.0, 0.0) (5, 14) Down 1
(-105.0, 15.0, 0.0) (7, 14) Down 1
(-115.0, 15.0, 0.0) (6, 14) Down 1
(-115.0, 55.0, 0.0) (6, 18) Down 1
(-125.0, 45.0, 0.0) (5, 17) Down 1
(-135.0, 45.0, 0.0) (4, 17) Down 1
(-125.0, 55.0, 0.0) (5, 18) Down 1
(-105.0, 55.0, 0.0) (7, 18) Down 1
(-105.0, 45.0, 0.0) (7, 17) Down 1
(-95.0, 45.0, 0.0) (8, 17) Down 1
(-95.0, 35.0, 0.0) (8, 16) Down 1
(-85.0, 35.0, 0.0) (9, 16) Down 1
(-85.0, 45.0, 0.0) (9, 17) Down 1
(-85.0, 55.0, 0.0) (9, 18) Down 1
(-65.0, 55.0, 0.0) (11, 18) Down 1
(-65.0, 45.0, 0.0) (11, 17) Down 1
(-75.0, 55.0, 0.0) (10, 18) Down 1
(-75.0, 45.0, 0.0) (10, 17) Down 1
(-55.0, 45.0, 0.0) (12, 17) Down 1
(-45.0, 45.0, 0.0) (13, 17) Down 1
(-45.0, 55.0, 0.0) (13, 18) Down 1
(-35.0, 55.0, 0.0) (14, 18) Down 1
(-35.0, 25.0, 0.0) (14, 15) Down 1
